id ,pos_X,pos_Y
0,0.0,0.5
1,0.0,-0.5
2,-0.87,0.0
3,-0.87,1.0
4,0.0,1.5
5,0.87,1.0
6,0.87,0.0
7,0.87,-1.0
8,0.0,-1.5
9,-0.87,-1.0
10,-1.73,-0.5
11,-1.73,0.5
12,-1.73,1.5
13,-0.87,2.0
14,0.0,2.5
15,0.87,2.0
16,1.73,1.5
17,1.73,0.5
18,1.73,-0.5
19,1.73,-1.5
20,0.87,-2.0
21,0.0,-2.5
22,-0.87,-2.0
23,-1.73,-1.5
24,-2.6,-1.0
25,-2.6,0.0
26,-2.6,1.0
27,-2.6,2.0
28,-1.73,2.5
29,-0.87,3.0
30,0.0,3.5
31,0.87,3.0
32,1.73,2.5
33,2.6,2.0
34,2.6,1.0
35,2.6,0.0
36,2.6,-1.0
37,2.6,-2.0
38,1.73,-2.5
39,0.87,-3.0
40,0.0,-3.5
41,-0.87,-3.0
42,-1.73,-2.5
43,-2.6,-2.0
44,-3.46,-1.5
45,-3.46,-0.5
46,-3.46,0.5
47,-3.46,1.5
48,-3.46,2.5
49,-2.6,3.0
50,-1.73,3.5
51,-0.87,4.0
52,0.0,4.5
53,0.87,4.0
54,1.73,3.5
55,2.6,3.0
56,3.46,2.5
57,3.46,1.5
58,3.46,0.5
59,3.46,-0.5
60,3.46,-1.5
61,3.46,-2.5
62,2.6,-3.0
63,1.73,-3.5
64,0.87,-4.0
65,0.0,-4.5
66,-0.87,-4.0
67,-1.73,-3.5
68,-2.6,-3.0
69,-3.46,-2.5
70,-4.33,-2.0
71,-4.33,-1.0
72,-4.33,0.0
73,-4.33,1.0
74,-4.33,2.0
75,-4.33,3.0
76,-3.46,3.5
77,-2.6,4.0
78,-1.73,4.5
79,-0.87,5.0
80,0.0,5.5
81,0.87,5.0
82,1.73,4.5
83,2.6,4.0
84,3.46,3.5
85,4.33,3.0
86,4.33,2.0
87,4.33,1.0
88,4.33,0.0
89,4.33,-1.0
90,4.33,-2.0
91,4.33,-3.0
92,3.46,-3.5
93,2.6,-4.0
94,1.73,-4.5
95,0.87,-5.0
96,0.0,-5.5
97,-0.87,-5.0
98,-1.73,-4.5
99,-2.6,-4.0
100,-3.46,-3.5
101,-4.33,-3.0
102,-5.2,-2.5
103,-5.2,-1.5
104,-5.2,-0.5
105,-5.2,0.5
106,-5.2,1.5
107,-5.2,2.5
108,-5.2,3.5
109,-4.33,4.0
110,-3.46,4.5
111,-2.6,5.0
112,-1.73,5.5
113,-0.87,6.0
114,0.0,6.5
115,0.87,6.0
116,1.73,5.5
117,2.6,5.0
118,3.46,4.5
119,4.33,4.0
120,5.2,3.5
121,5.2,2.5
122,5.2,1.5
123,5.2,0.5
124,5.2,-0.5
125,5.2,-1.5
126,5.2,-2.5
127,5.2,-3.5
128,4.33,-4.0
129,3.46,-4.5
130,2.6,-5.0
131,1.73,-5.5
132,0.87,-6.0
133,0.0,-6.5
134,-0.87,-6.0
135,-1.73,-5.5
136,-2.6,-5.0
137,-3.46,-4.5
138,-4.33,-4.0
139,-5.2,-3.5
140,-6.06,-3.0
141,-6.06,-2.0
142,-6.06,-1.0
143,-6.06,0.0
144,-6.06,1.0
145,-6.06,2.0
146,-6.06,3.0
147,-6.06,4.0
148,-5.2,4.5
149,-4.33,5.0
150,-3.46,5.5
151,-2.6,6.0
152,-1.73,6.5
153,-0.87,7.0
154,0.0,7.5
155,0.87,7.0
156,1.73,6.5
157,2.6,6.0
158,3.46,5.5
159,4.33,5.0
160,5.2,4.5
161,6.06,4.0
162,6.06,3.0
163,6.06,2.0
164,6.06,1.0
165,6.06,0.0
166,6.06,-1.0
167,6.06,-2.0
168,6.06,-3.0
169,6.06,-4.0
170,5.2,-4.5
171,4.33,-5.0
172,3.46,-5.5
173,2.6,-6.0
174,1.73,-6.5
175,0.87,-7.0
176,0.0,-7.5
177,-0.87,-7.0
178,-1.73,-6.5
179,-2.6,-6.0
180,-3.46,-5.5
181,-4.33,-5.0
182,-5.2,-4.5
183,-6.06,-4.0
184,-6.93,-3.5
185,-6.93,-2.5
186,-6.93,-1.5
187,-6.93,-0.5
188,-6.93,0.5
189,-6.93,1.5
190,-6.93,2.5
191,-6.93,3.5
192,-6.93,4.5
193,-6.06,5.0
194,-5.2,5.5
195,-4.33,6.0
196,-3.46,6.5
197,-2.6,7.0
198,-1.73,7.5
199,-0.87,8.0
200,0.0,8.5
201,0.87,8.0
202,1.73,7.5
203,2.6,7.0
204,3.46,6.5
205,4.33,6.0
206,5.2,5.5
207,6.06,5.0
208,6.93,4.5
209,6.93,3.5
210,6.93,2.5
211,6.93,1.5
212,6.93,0.5
213,6.93,-0.5
214,6.93,-1.5
215,6.93,-2.5
216,6.93,-3.5
217,6.93,-4.5
218,6.06,-5.0
219,5.2,-5.5
220,4.33,-6.0
221,3.46,-6.5
222,2.6,-7.0
223,1.73,-7.5
224,0.87,-8.0
225,0.0,-8.5
226,-0.87,-8.0
227,-1.73,-7.5
228,-2.6,-7.0
229,-3.46,-6.5
230,-4.33,-6.0
231,-5.2,-5.5
232,-6.06,-5.0
233,-6.93,-4.5
234,-7.79,-4.0
235,-7.79,-3.0
236,-7.79,-2.0
237,-7.79,-1.0
